"","T0","T1","T2","T2.5","T3","T3.5","T4","T5","Urysohn","Semiregular","Regular","CompletelyRegular","Normal","CompletelyNormal","PerfectlyNormal","Compact","sigmaCompact","Lindelof","CountablyCompact","SequentiallyCompact","WeakCountCompact","Pseudocompact","LocallyCompact","StrongLocCompact","sigmaLocallyCompact","Separable","SecondCountable","FirstCountable","CountChainCond","Paracompact","Metacompact","CountParacompact","CountMetacompact","FullyNormal","FullyT4","Connected","PathConnected","ArcConnected","Hyperconnected","Ultraconnected","LocallyConnected","LocalPathConnected","LocalArcConnected","Biconnected","HasDispersionPoint","TotallyPathDisc","TotallyDisconnected","TotallySeparated","ExtremallyDisc","ZeroDimensional","Scattered","Discrete","Metrizable","sigmaLocallyFiniteBase","TopolComplete","SecondCategory","Countable","CardLessThanC","Card=C","CardNotExc2^C","StronglyConnected"
"Example53",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,1,0,0,1,1,1
"Example54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,NA,NA,1,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1,1,1
"Example55",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,NA,1,1,1,0,1,0
"Example56",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,1,1,0,1,1
"Example57",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,NA,1,1,1,0,1,1
"Example58",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
"Example59",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
"Example60",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,1,1,0,1,1
"Example61",1,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,1,1,0,1,1
"Example62",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1,1,0
"Example63",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,1,1,0
"Example64",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,0,0,1,1,0
"Example65",1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,NA,1,0,0,1,1,0
"Example66",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,0,0,1,1,0
"Example67",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,0,0,1,1,0
"Example68",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,1,1,0
